Asador Nuevo Porche;C/ Alaró 5 28042 Madrid;Madrid;40.4709229;-3.5826144;Asador,INSIDER,Selección Insider - Terrazas;9.3;2014
Montmartre 1889 - Gran Meliá Palacio de los Duques;Cuesta Santo Domingo 5 28013 Madrid;Madrid;40.4196974;-3.7099964;Español,INSIDER,Selección Insider - Terrazas;9.3;2210
Queen Las Tablas;C/ Castiello de Jaca 14 28050 Madrid;Madrid;40.5093637;-3.6781536;De Fusión;9.2;2138
Mixture Lounge & Restaurant - Arroceria;Calle de Agastia 126 28043 Madrid;Madrid;40.4553139;-3.6588681;Mediterráneo;9.2;247
Club de Tiro Madrid;Crta. Madrid- El Pardo M 605 KM 12 28035 Madrid;Madrid;40.488314;-3.74325;Español;8.9;678
Club de Tiro Cantoblanco;Ctra. Colmenar Viejo Km. 14.500 28049 Madrid;Madrid;40.5395546;-3.6927948;Mediterráneo,DOBLE YUMS;8.2;89
Komeyá;Calle del Porvenir 16 28028 Madrid;Madrid;40.4243895;-3.6663509;Internacional,DOBLE YUMS;9.2;195
Urumea;Calle Cochabamba 7 28016 Madrid;Madrid;40.4555671;-3.6811907;De mercado;8.9;1054
Oam Thong (Sanuk);c/ Navarrete 9 28050 Madrid;Madrid;40.4998761;-3.6728739;Tailandés;9.0;3347
Macuto Restobar;Calle del Espíritu Santo 40 28004 Madrid;Madrid;40.425632;-3.7050932;Latino;9.2;79
Pura Vida Green Bar & Market;Paseo de San Francisco de Sales 23 28003 Madrid;Madrid;40.4415083;-3.7146172;De Fusión;9.5;60
Hotel Posada del León de Oro;C/ Cava Baja 12 28005 Madrid;Madrid;40.4132203;-3.7086485;Español,INSIDER;9.0;1256
Rajputh;Plaza Lavapiés 4 28012 Madrid;Madrid;40.4089281;-3.7008805;Indio;9.0;221
La Antoñita - Hotel Posada del Dragón;C/ Cava Baja 14 28005 Madrid;Madrid;40.41311899999999;-3.7087079;Mediterráneo;9.0;1821
La Esquina de Chamberí;Calle Gral. Álvarez de Castro 7 28010 Madrid;Madrid;40.4346699;-3.70205;De mercado,DOBLE YUMS;8.5;722
El Callejón de Álvarez Gato;Calle de Elfo 123 28027 Madrid;Madrid;40.4333473;-3.6449978;Mediterráneo,DOBLE YUMS;9.3;533
Picones de Maria;Calle Simancas nº 12 28029 Madrid;Madrid;40.4661173;-3.6925188;Español,INSIDER;9.3;1717
Bresca;Calle de los Tres Peces 20 28012 Madrid;Madrid;40.410681;-3.6995824;Italiano;9.0;588
